ExT,a,i,k,t 
16120,7,1,1,47 
16120,7,1,1,48 
16120,7,1,1,49 
16120,7,1,1,50 
16120,7,1,1,51 
16120,7,1,1,52 
11191,8,1,1,1 
11191,8,1,1,2 
11191,8,1,1,3 
11191,8,1,1,4 
11191,8,1,1,5 
11191,8,1,1,6 
11191,8,1,1,7 
11191,8,1,1,8 
11191,8,1,1,9 
11191,8,1,1,10 
11191,8,1,1,11 
11191,8,1,1,12 
11191,8,1,1,13 
11191,8,1,1,14 
11191,8,1,1,15 
11191,8,1,1,16 
11191,8,1,1,17 
11191,8,1,1,18 
11191,8,1,1,19 
11191,8,1,1,20 
11191,8,1,1,21 
11191,8,1,1,22 
11191,8,1,1,23 
11191,8,1,1,24 
11191,8,1,1,25 
11191,8,1,1,26 
11191,8,1,1,27 
11191,8,1,1,28 
11191,8,1,1,29 
11191,8,1,1,30 
11191,8,1,1,31 
11191,8,1,1,32 
11191,8,1,1,33 
11191,8,1,1,34 
11191,8,1,1,35 
11191,8,1,1,36 
11191,8,1,1,37 
11191,8,1,1,38 
11191,8,1,1,39 
11191,8,1,1,40 
11191,8,1,1,41 
11191,8,1,1,42 
11191,8,1,1,43 
11191,8,1,1,44 
11191,8,1,1,45 
11191,8,1,1,46 
11191,8,1,1,47 
11191,8,1,1,48 
11191,8,1,1,49 
11191,8,1,1,50 
11191,8,1,1,51 
11191,8,1,1,52 
11293,9,1,1,1 
11293,9,1,1,2 
11293,9,1,1,3 
11293,9,1,1,4 
11293,9,1,1,5 
11293,9,1,1,6 
11293,9,1,1,7 
11293,9,1,1,8 
11293,9,1,1,9 
11293,9,1,1,10 
11293,9,1,1,11 
11293,9,1,1,12 
11293,9,1,1,13 
11293,9,1,1,14 
11293,9,1,1,15 
11293,9,1,1,16 
11293,9,1,1,17 
11293,9,1,1,18 
11293,9,1,1,19 
11293,9,1,1,20 
11293,9,1,1,21 
11293,9,1,1,22 
11293,9,1,1,23 
11293,9,1,1,24 
11293,9,1,1,25 
11293,9,1,1,26 
11293,9,1,1,27 
