Al,tau,a,i,k,t 
14094,5,9,2,1,5 
0,1,9,2,2,5 
0,2,9,2,2,5 
0,3,9,2,2,5 
0,4,9,2,2,5 
0,5,9,2,2,5 
0,1,9,2,3,5 
0,2,9,2,3,5 
0,3,9,2,3,5 
0,4,9,2,3,5 
0,5,9,2,3,5 
0,1,9,2,4,5 
0,2,9,2,4,5 
0,3,9,2,4,5 
0,4,9,2,4,5 
0,5,9,2,4,5 
0,1,10,2,1,5 
0,2,10,2,1,5 
0,3,10,2,1,5 
0,4,10,2,1,5 
2119,5,10,2,1,5 
0,1,10,2,2,5 
0,2,10,2,2,5 
0,3,10,2,2,5 
0,4,10,2,2,5 
0,5,10,2,2,5 
0,1,10,2,3,5 
0,2,10,2,3,5 
0,3,10,2,3,5 
0,4,10,2,3,5 
0,5,10,2,3,5 
0,1,10,2,4,5 
0,2,10,2,4,5 
0,3,10,2,4,5 
0,4,10,2,4,5 
0,5,10,2,4,5 
0,1,1,3,1,5 
0,2,1,3,1,5 
0,3,1,3,1,5 
0,4,1,3,1,5 
0,5,1,3,1,5 
0,1,1,3,2,5 
0,2,1,3,2,5 
0,3,1,3,2,5 
0,4,1,3,2,5 
0,5,1,3,2,5 
0,1,1,3,3,5 
0,2,1,3,3,5 
0,3,1,3,3,5 
0,4,1,3,3,5 
0,5,1,3,3,5 
0,1,1,3,4,5 
0,2,1,3,4,5 
0,3,1,3,4,5 
0,4,1,3,4,5 
8659,5,1,3,4,5 
0,1,2,3,1,5 
0,2,2,3,1,5 
0,3,2,3,1,5 
0,4,2,3,1,5 
2671,5,2,3,1,5 
0,1,2,3,2,5 
0,2,2,3,2,5 
0,3,2,3,2,5 
0,4,2,3,2,5 
0,5,2,3,2,5 
0,1,2,3,3,5 
0,2,2,3,3,5 
0,3,2,3,3,5 
0,4,2,3,3,5 
0,5,2,3,3,5 
0,1,2,3,4,5 
0,2,2,3,4,5 
0,3,2,3,4,5 
0,4,2,3,4,5 
0,5,2,3,4,5 
0,1,3,3,1,5 
0,2,3,3,1,5 
0,3,3,3,1,5 
0,4,3,3,1,5 
19160,5,3,3,1,5 
0,1,3,3,2,5 
0,2,3,3,2,5 
0,3,3,3,2,5 
0,4,3,3,2,5 
0,5,3,3,2,5 
0,1,3,3,3,5 
0,2,3,3,3,5 
0,3,3,3,3,5 
0,4,3,3,3,5 
0,5,3,3,3,5 
0,1,3,3,4,5 
0,2,3,3,4,5 
0,3,3,3,4,5 
0,4,3,3,4,5 
0,5,3,3,4,5 
0,1,4,3,1,5 
0,2,4,3,1,5 
0,3,4,3,1,5 
0,4,4,3,1,5 
3961,5,4,3,1,5 
0,1,4,3,2,5 
0,2,4,3,2,5 
0,3,4,3,2,5 
0,4,4,3,2,5 
0,5,4,3,2,5 
0,1,4,3,3,5 
0,2,4,3,3,5 
0,3,4,3,3,5 
0,4,4,3,3,5 
0,5,4,3,3,5 
0,1,4,3,4,5 
0,2,4,3,4,5 
0,3,4,3,4,5 
0,4,4,3,4,5 
0,5,4,3,4,5 
0,1,5,3,1,5 
0,2,5,3,1,5 
0,3,5,3,1,5 
0,4,5,3,1,5 
829,5,5,3,1,5 
0,1,5,3,2,5 
0,2,5,3,2,5 
0,3,5,3,2,5 
0,4,5,3,2,5 
0,5,5,3,2,5 
0,1,5,3,3,5 
0,2,5,3,3,5 
0,3,5,3,3,5 
0,4,5,3,3,5 
0,5,5,3,3,5 
0,1,5,3,4,5 
0,2,5,3,4,5 
0,3,5,3,4,5 
0,4,5,3,4,5 
0,5,5,3,4,5 
0,1,6,3,1,5 
0,2,6,3,1,5 
0,3,6,3,1,5 
0,4,6,3,1,5 
3316,5,6,3,1,5 
0,1,6,3,2,5 
0,2,6,3,2,5 
0,3,6,3,2,5 
0,4,6,3,2,5 
0,5,6,3,2,5 
0,1,6,3,3,5 
0,2,6,3,3,5 
0,3,6,3,3,5 
0,4,6,3,3,5 
0,5,6,3,3,5 
0,1,6,3,4,5 
0,2,6,3,4,5 
0,3,6,3,4,5 
0,4,6,3,4,5 
0,5,6,3,4,5 
0,1,7,3,1,5 
0,2,7,3,1,5 
0,3,7,3,1,5 
0,4,7,3,1,5 
23213,5,7,3,1,5 
0,1,7,3,2,5 
0,2,7,3,2,5 
0,3,7,3,2,5 
0,4,7,3,2,5 
0,5,7,3,2,5 
0,1,7,3,3,5 
0,2,7,3,3,5 
0,3,7,3,3,5 
0,4,7,3,3,5 
0,5,7,3,3,5 
0,1,7,3,4,5 
0,2,7,3,4,5 
0,3,7,3,4,5 
0,4,7,3,4,5 
0,5,7,3,4,5 
0,1,8,3,1,5 
0,2,8,3,1,5 
0,3,8,3,1,5 
0,4,8,3,1,5 
43,5,8,3,1,5 
0,1,8,3,2,5 
0,2,8,3,2,5 
0,3,8,3,2,5 
0,4,8,3,2,5 
0,5,8,3,2,5 
0,1,8,3,3,5 
0,2,8,3,3,5 
0,3,8,3,3,5 
0,4,8,3,3,5 
0,5,8,3,3,5 
0,1,8,3,4,5 
